종목코드,종목명,시가총액
78130,국일제지,"517,479,294,789"
307750,국전약품,"194,107,391,250"
35080,그래디언트,"196,943,011,200"
318060,그래피,"98,710,228,610"
453450,그리드위즈,"154,009,922,500"
204020,그리티,"46,292,980,160"
402490,그린리소스,"144,890,270,000"
114450,그린생명과학,"53,400,000,000"
186230,그린플러스,"70,981,222,000"
900070,글로벌에스엠,"24,184,785,600"
204620,글로벌텍스프리,"444,190,645,600"
19660,글로본,"40,159,679,040"
53260,금강철강,"81,993,600,000"
282720,금양그린파워,"133,435,695,000"
36190,금화피에스시,"189,600,000,000"
49080,기가레인,"41,083,539,948"
420770,기가비스,"492,453,198,300"
35460,기산텔레콤,"25,510,345,000"
407400,꿈비,"84,587,606,520"
187790,나노,"63,377,905,650"
121600,나노신소재,"581,863,251,150"
286750,나노실리칸첨단소재,"54,303,282,528"
247660,나노씨엠에스,"21,893,356,800"
39860,나노엔텍,"115,596,295,200"
91970,나노캠텍,"21,103,466,052"
417010,나노팀,"95,417,003,440"
405920,나라셀라,"33,740,559,120"
51490,나라엠앤디,"56,161,000,000"
137080,나래나노텍,"36,717,281,040"
190510,나무가,"259,604,586,250"
242040,나무기술,"51,217,270,720"
293580,나우IB,"113,915,940,000"
459510,나우로보틱스,"308,564,084,400"
138610,나이벡,"279,307,402,400"
130580,나이스디앤비,"89,320,000,000"
36800,나이스정보통신,"225,500,000,000"
267320,나인테크,"183,018,134,110"
111710,남화산업,"98,822,400,000"
91590,남화토건,"47,370,900,000"
168330,내츄럴엔도텍,"86,055,779,000"
94860,네오리진,"24,386,262,966"
253590,네오셈,"443,955,939,680"
212560,네오오토,"65,321,692,730"
95660,네오위즈,"575,927,101,600"
42420,네오위즈홀딩스,"211,408,611,600"
950220,네오이뮨텍,"78,204,164,815"
311390,네오크레마,"125,399,048,990"
85910,네오티스,"46,542,292,120"
92730,네오팜,"279,528,128,160"
290660,네오펙트,"47,338,194,204"
306620,네온테크,"94,529,946,000"
153460,네이블,"50,868,809,060"
7390,네이처셀,"1,320,918,648,000"
33640,네패스,"362,260,063,420"
330860,네패스아크,"219,800,171,800"
351320,넥사다이내믹스,"46,752,125,744"
89140,넥스턴바이오,"35,080,046,190"
389650,넥스트바이오메디컬,"590,828,247,200"
137940,넥스트아이,"30,049,885,184"
396270,넥스트칩,"62,480,536,400"
348210,넥스틴,"540,613,458,000"
225570,넥슨게임즈,"927,311,249,920"
205500,넥써쓰,"192,546,374,160"
217270,넵튠,"282,750,640,150"
104620,노랑풍선,"106,578,899,680"
473980,노머스,"373,914,014,100"
194700,노바렉스,"387,287,611,200"
285490,노바텍,"198,931,381,110"
145170,노브랜드,"78,201,373,125"
106520,노블엠앤비,"15,904,036,272"
376930,노을,"129,684,180,600"
142280,녹십자엠에스,"88,924,477,340"
234690,녹십자웰빙,"174,504,873,080"
54050,농우바이오,"139,786,491,920"
69140,누리플랜,"36,229,084,395"
40160,누리플렉스,"50,271,580,950"
332290,누보,"48,406,291,300"
348340,뉴로메카,"293,373,898,950"
380550,뉴로핏,"254,767,618,350"
60260,뉴보텍,"20,605,813,725"
463020,뉴엔AI,"264,600,160,000"
123840,뉴온,"42,355,909,980"
12340,뉴인텍,"25,700,018,076"
462310,뉴키즈온,"54,760,860,000"
270870,뉴트리,"49,037,193,920"
144960,뉴파워프라즈마,"243,804,841,920"
85670,뉴프렉스,"132,034,109,400"
64260,다날,"705,348,679,200"
340360,다보링크,"81,530,791,195"
39560,다산네트웍스,"125,972,459,580"
154040,다산솔루에타,"21,611,913,176"
32190,다우데이타,"675,995,000,000"
323350,다원넥스뷰,"50,868,402,200"
68240,다원시스,"199,213,141,140"
464580,닷밀,"50,580,383,930"
20400,대동금속,"18,847,971,060"
8830,대동기어,"136,430,553,600"
48470,대동스틸,"34,650,000,000"
4780,대륙제관,"59,398,448,265"
17650,대림제지,"66,150,000,000"
389260,대명에너지,"432,679,248,750"
317850,대모,"57,022,277,000"
290670,대보마그네틱,"118,807,819,200"
78140,대봉엘에스,"147,562,366,490"
65150,대산F&B,"23,110,448,725"
36480,대성미생물,"29,260,000,000"
27830,대성창투,"90,504,000,000"
104040,대성파인텍,"131,118,333,828"
129920,대성하이텍,"57,466,072,070"
457630,대신밸런스제16호스팩,"15,716,500,000"
471050,대신밸런스제17호스팩,"13,089,600,000"
